  epoch    mae_test_score    mae_train_score    mape_test_score    mape_train_score    r2_test_score    r2_train_score    train_loss    valid_loss     dur
    475            0.1712             0.0525          -117.3371            -19.2300        -355.3525            0.9701        0.0269        0.8480  1.1720
    476            0.1740             0.0504          -103.6486            -17.0912        -275.6793            0.9715        0.0268        0.8489  1.1695
    477            0.1726             0.0498          -110.3549            -18.7035        -194.3290            0.9721        0.0256        0.8345  1.1622
    478            0.1729             0.0489          -113.6676            -21.0174        -441.7192            0.9707        0.0261        0.8587  1.1648
    479            0.1751             0.0491          -102.1799            -17.9921        -111.3515            0.9715        0.0256        0.8280  1.1611
    480            0.1697             0.0509          -100.4997            -22.1517        -708.0305            0.9720        0.0260        0.8795  1.1644
    481            0.1758             0.0486           -96.9930            -18.3253        -143.7397            0.9732        0.0254        0.8339  1.1668
    482            0.1729             0.0476          -123.2539            -23.1330        -782.5925            [36m0.9742[0m        0.0246        0.8853  1.1679
    483            0.1692             [32m0.0467[0m          -103.4982            -18.9620         -91.8529            [36m0.9747[0m        [32m0.0242[0m        0.8271  1.1673
    484            0.1717             0.0477           -78.7383            -19.8852        -583.4044            0.9745        0.0246        0.8664  1.1675
    485            0.1697             0.0480          -117.9521            -21.4459        -136.0807            0.9745        0.0246        0.8323  1.1664
    486            0.1827             0.0500          -142.7187            -23.1904        -346.1469            0.9730        0.0261        0.8552  1.1688
    487            0.1647             0.0514           -77.0383            -21.0082        -299.6917            0.9725        0.0264        0.8429  1.1629
    488            0.1746             0.0506          -115.3220            -21.3603        -237.5379            0.9727        0.0256        0.8412  1.1685
    489            0.1736             0.0488          -115.9122            -20.9282        -380.5542            0.9741        0.0246        0.8511  1.1680
    490            0.1698             0.0488           -98.8938            -21.0042         -94.2235            0.9740        0.0248        0.8311  1.1708
    491            0.1745             0.0489          -100.8028            -18.6795        -349.4478            0.9738        0.0252        0.8499  1.1700
    492            0.1718             0.0497          -114.8939            -20.3961        -392.9952            0.9725        0.0261        0.8522  1.1653
    493            0.1724             0.0495           -96.4824            -21.7742        -219.9646            0.9720        0.0256        0.8394  1.1686
    494            0.1758             0.0496          -106.5947            -20.1133        -842.5317            0.9719        0.0265        0.8913  1.1654
    495            0.1737             0.0523          -113.6286            -20.3041        -184.5315            0.9707        0.0277        0.8411  1.1671
    496            0.1752             0.0524          -109.2870            -18.9410        -254.8294            0.9706        0.0272        0.8410  1.1642
    497            0.1650             0.0525           -91.2414            -21.7365        -357.3675            0.9707        0.0269        0.8497  1.1704
    498            0.1748             0.0502           -93.9477            -17.8013        -125.6403            0.9725        0.0258        0.8309  1.1615
    499            0.1669             0.0493          -116.0859            -21.2689        -692.6125            0.9733        0.0254        0.8769  1.1727
    500            0.1748             0.0493           -95.6276            -19.4011        -109.8857            0.9734        0.0259        0.8299  1.1700
    501            0.1681             0.0488           -96.6026            -18.9325        -689.8720            0.9737        0.0251        0.8755  1.1610
    502            0.1656             [32m0.0463[0m          -100.9009            -19.6247        -100.5102            [36m0.9750[0m        0.0244        0.8273  1.1669
    503            0.1769             [32m0.0457[0m          -108.5002            -18.8790        -355.4254            0.9749        0.0243        0.8509  1.1680
    504            0.1652             0.0468          -109.9661            -19.5318        -224.3989            [36m0.9752[0m        0.0242        0.8370  1.1684
    505            0.1721             0.0465           -89.6770            -18.4900        -354.6207            0.9748        0.0244        0.8480  1.1634
    506            0.1664             0.0471           -98.1338            -19.1815        -192.0803            [36m0.9754[0m        [32m0.0241[0m        0.8335  1.1709
    507            0.1719             0.0468          -108.6868            -21.4792        -403.6739            0.9751        [32m0.0241[0m        0.8535  1.1632
    508            0.1729             0.0459          -112.5833            -18.1642        -231.2544            [36m0.9754[0m        0.0242        0.8419  1.1644
    509            0.1686             0.0467           -96.2935            -20.5684        -593.5223            0.9751        [32m0.0239[0m        0.8668  1.1680
    510            0.1718             0.0459           -89.2816            -16.2206        -317.1487            [36m0.9754[0m        [32m0.0239[0m        0.8498  1.1703
    511            0.1660             0.0458           -92.7507            -18.7665        -310.3540            [36m0.9755[0m        [32m0.0235[0m        0.8423  1.1673
    512            0.1719             0.0458          -110.5114            -19.3080        -312.8946            0.9753        0.0239        0.8480  1.1663
    513            0.1749             0.0484           -99.3350            -17.7218         -88.2936            0.9739        0.0243        0.8268  1.1721
    514            0.1659             0.0533          -106.5200            -21.5463        -267.6030            0.9718        0.0260        0.8417  1.1580
    515            0.1708             0.0525           -79.3369            -20.9626         -80.1512            0.9714        0.0266        0.8267  1.1685
    516            0.1742             0.0523          -117.6325            -20.7970        -588.6694            0.9726        0.0257        0.8696  1.1652
    517            0.1667             0.0515           -94.5679            -20.8434         -57.6574            0.9727        0.0261        0.8264  1.1719
    518            0.1727             0.0496           -99.7571            -17.4713        -516.7345            0.9740        0.0246        0.8625  1.1708
    519            0.1632             0.0475           -96.6545            -22.4799         -54.5932            0.9747        0.0244        0.8233  1.1662
    520            0.1777             0.0473          -118.7676            -19.4159        -174.5727            0.9753        0.0238        0.8353  1.1691
    521            0.1642             0.0487           -86.5846            -19.9775        -139.3325            0.9750        0.0243        0.8293  1.1680
    522            0.1698             0.0477          -114.1742            -21.1631         -85.0412            0.9751        0.0240        0.8265  1.1651
    523            0.1725             0.0485          -106.1669            -18.0265        -119.4402            0.9745        0.0243        0.8297  1.1714
    524            0.1671             0.0482           -94.8426            -18.6789         -71.5653            0.9746        0.0246        0.8249  1.1700
    525            0.1698             0.0484           -84.6707            -19.0953         -61.8533            0.9740        0.0252        0.8279  1.1703
    526            0.1702             0.0480          -116.3370            -19.5250        -158.3320            0.9748        0.0241        0.8309  1.1681
    527            0.1698             0.0472          -106.3911            -20.3256        -115.5637            0.9751        0.0240        0.8317  1.1662
    528            0.1660             0.0471           -77.0872            -18.3168         -65.2489            [36m0.9759[0m        0.0237        0.8232  1.1649
    529            0.1682             0.0476          -105.5986            -20.6729        -371.5726            0.9751        0.0238        0.8495  1.1670
    530            0.1749             0.0468          -100.2061            -19.4244         -94.3260            0.9758        0.0236        0.8286  1.1710
    531            0.1643             0.0477          -116.4490            -20.0024        -284.6939            0.9758        [32m0.0234[0m        0.8422  1.1679
    532            0.1677             0.0479           -74.4158            -17.8058         -82.2916            0.9754        0.0238        0.8245  1.1677
    533            0.1663             0.0486          -104.0028            -19.3161        -327.5360            0.9752        0.0240        0.8452  1.1672
    534            0.1703             0.0481          -108.3111            -19.7454         -85.6242            0.9749        0.0243        0.8291  1.1710
    535            0.1715             0.0481          -102.2893            -20.5521        -129.6552            0.9750        0.0237        0.8285  1.1651
    536            0.1637             0.0489           -88.2636            -21.9445        -297.2934            0.9742        0.0248        0.8428  1.1679
    537            0.1723             0.0505           -89.5770            -17.1628        -116.9307            0.9734        0.0249        0.8281  1.1703
    538            0.1629             0.0519          -105.2069            -22.5248        -358.3911            0.9718        0.0256        0.8480  1.1666
    539            0.1713             0.0503          -106.4596            -16.8762         -99.9348            0.9705        0.0258        0.8287  1.1652
    540            0.1684             0.0521          -105.2878            -21.1013        -564.2023            0.9693        0.0250        0.8649  1.1627
    541            0.1653             0.0508           -76.0165            -22.2381         -68.0974            0.9678        0.0261        0.8246  1.1723
    542            0.1698             0.0582           -74.4793            -18.9722        -103.3108            0.9639        0.0264        0.8269  1.1727
    543            0.1644             0.0535          -108.0698            -21.9819        -164.3204            0.9719        0.0244        0.8324  1.1629
    544            0.1747             0.0521          -106.8404            -18.6628        -109.3223            0.9720        0.0252        0.8307  1.1631
    545            0.1602             0.0528           -63.4391            -21.8403        -160.1229            0.9723        0.0253        0.8292  1.1689
    546            0.1640             0.0494           -79.5461            -20.4976        -170.7005            0.9736        0.0246        0.8325  1.1623
    547            0.1691             0.0471          -107.0437            -19.2471        -137.1915            [36m0.9760[0m        [32m0.0232[0m        0.8291  1.1685
    548            0.1642             [32m0.0453[0m           -90.4387            -19.8238        -130.7453            [36m0.9769[0m        [32m0.0224[0m        0.8288  1.1658
    549            0.1671             [32m0.0438[0m           -83.2692            -17.7462         -94.1337            [36m0.9773[0m        [32m0.0220[0m        0.8261  1.1625
    550            0.1636             0.0444           -98.0025            -18.7248        -313.5470            0.9772        0.0222        0.8418  1.1652
    551            0.1678             0.0443           -94.8701            -19.3927         -88.7020            0.9771        0.0225        0.8285  1.1683
    552            0.1659             0.0456           -96.0115            -18.8856        -268.6668            0.9767        0.0229        0.8380  1.1620
    553            0.1643             0.0459           -86.9641            -19.6442        -107.5928            0.9767        0.0232        0.8262  1.1674
    554            0.1657             0.0462           -87.8683            -18.6411        -112.0944            0.9764        0.0231        0.8262  1.1639
    555            0.1670             0.0472           -88.6440            -18.1356        -278.7684            0.9759        0.0242        0.8404  1.1716
    556            0.1667             0.0479           -93.5232            -20.7166         -86.5792            0.9750        0.0248        0.8283  1.1663
    557            0.1682             0.0476          -102.0324            -18.8859        -335.8818            0.9757        0.0239        0.8439  1.1622
    558            0.1613             0.0468           -70.9302            -19.0157        -146.4026            0.9759        0.0241        0.8292  1.1692
    559            0.1670             0.0467           -95.1598            -18.4732        -122.2615            0.9759        0.0235        0.8276  1.1726
    560            0.1635             0.0459          -107.8145            -20.4327        -231.4674            0.9766        0.0230        0.8365  1.1727
    561            0.1706             0.0456           -89.3451            -17.7681        -157.1253            0.9764        0.0233        0.8317  1.1680
    562            0.1587             0.0481           -83.1375            -19.0323        -365.9493            0.9760        0.0237        0.8439  1.1605
    563            0.1647             0.0482           -74.2168            -19.2205        -162.8351            0.9750        0.0245        0.8311  1.1638
    564            0.1659             0.0480          -115.6005            -19.6129        -303.1505            0.9752        0.0243        0.8422  1.1677
    565            0.1633             0.0486           -91.8018            -20.4268        -296.1571            0.9753        0.0239        0.8415  1.1667
    566            0.1660             0.0459           -78.3263            -16.6206        -194.9431            0.9759        0.0226        0.8314  1.1714
    567            0.1636             0.0462           -92.6388            -20.3595        -174.5297            0.9762        0.0227        0.8312  1.1778
    568            0.1658             0.0467          -103.3424            -19.6652        -700.0179            0.9756        0.0226        0.8747  1.1738
    569            0.1704             0.0481          -103.9930            -19.3711        -101.6867            0.9756        0.0231        0.8272  1.1714
    570            0.1603             0.0488           -70.8321            -19.5856        -145.1691            0.9749        0.0241        0.8277  1.1694
    571            0.1716             0.0501           -98.1248            -20.1888        -344.6055            0.9745        0.0244        0.8484  1.1740
    572            0.1583             0.0495           -99.8156            -21.5954         -68.3263            0.9745        0.0243        0.8218  1.1696
    573            0.1718             0.0496          -101.9309            -21.0166        -395.2190            0.9748        0.0240        0.8498  1.1757
    574            0.1624             0.0476           -76.8814            -17.8968        -310.0919            0.9753        0.0236        0.8432  1.1755
    575            0.1642             0.0457          -111.8037            -20.8228        -181.2764            0.9764        0.0225        0.8312  1.1761
    576            0.1654             0.0453           -85.8542            -18.2473        -340.2160            0.9766        0.0227        0.8460  1.1735
    577            0.1640             0.0459          -101.2217            -19.5413        -274.0473            0.9767        0.0222        0.8390  1.1718
    578            0.1667             0.0466           -98.9514            -21.5770        -167.3909            0.9766        0.0228        0.8317  1.1733
    579            0.1653             0.0467           -93.8780            -17.3407        -350.5924            0.9761        0.0229        0.8447  1.1726
    580            0.1616             0.0481           -94.0747            -21.5859        -152.2948            0.9760        0.0238        0.8281  1.1701
    581            0.1684             0.0512           -96.3483            -20.0846        -246.5761            0.9739        0.0244        0.8389  1.1723
    582            0.1639             0.0499           -87.2197            -19.3415        -218.7602            0.9750        0.0239        0.8334  1.1752
    583            0.1652             0.0482          -104.8984            -19.5652        -358.4926            0.9758        0.0233        0.8475  1.1727
    584            0.1646             0.0463           -83.5115            -18.2078        -174.4155            0.9762        0.0234        0.8330  1.1754
    585            0.1656             0.0462           -91.7907            -19.2583        -702.5591            0.9765        0.0227        0.8743  1.1677
    586            0.1635             0.0454           -83.7416            -18.4080        -174.5523            0.9768        0.0228        0.8342  1.1700
    587            0.1656             0.0450          -105.3318            -17.9797        -339.6205            0.9772        0.0222        0.8441  1.1746
    588            0.1642             0.0455           -94.9849            -20.1078        -265.5834            [36m0.9776[0m        0.0221        0.8394  1.1726
    589            0.1645             0.0450           -80.2187            -16.8671        -132.3294            0.9773        0.0221        0.8270  1.1714
    590            0.1636             0.0451           -95.1063            -20.0757        -691.7295            0.9775        [32m0.0219[0m        0.8733  1.1725
    591            0.1684             0.0447           -95.1135            -17.2847        -112.1065            0.9774        0.0220        0.8280  1.1732
    592            0.1626             0.0441           -91.3996            -18.3263        -466.4753            [36m0.9777[0m        [32m0.0218[0m        0.8552  1.1682
    593            0.1662             0.0456           -98.3552            -18.5677        -142.0916            0.9773        0.0221        0.8287  1.1734
    594            0.1638             0.0454           -94.8431            -18.7295        -579.2981            0.9762        0.0227        0.8651  1.1747
    595            0.1661             0.0488           -82.0186            -19.6051        -239.9254            0.9753        0.0241        0.8355  1.1730
    596            0.1620             0.0518           -96.1756            -21.2613        -444.9838            0.9730        0.0252        0.8544  1.1744
    597            0.1641             0.0507           -91.9256            -21.9174        -220.6815            0.9745        0.0238        0.8346  1.1676
    598            0.1655             0.0478           -94.6460            -19.7405        -476.7028            0.9759        0.0225        0.8562  1.1751
    599            0.1597             0.0478           -58.7667            -18.7313        -345.1914            0.9761        0.0229        0.8434  1.1731
    600            0.1686             0.0500          -112.4478            -21.0714        -906.9656            0.9750        0.0231        0.8943  1.1710
    601            0.1667             0.0502           -95.5149            -19.6871        -502.7671            0.9743        0.0240        0.8628  1.1730
    602            0.1652             0.0495          -105.5805            -19.7794        -700.8143            0.9745        0.0237        0.8734  1.1711
    603            0.1606             0.0501           -61.9419            -19.6990        -222.3433            0.9745        0.0242        0.8363  1.1758
    604            0.1670             0.0476          -102.4765            -20.8738        -541.7574            0.9759        0.0226        0.8616  1.1750
    605            0.1659             0.0451          -101.3224            -19.3978        -544.8606            0.9770        [32m0.0217[0m        0.8637  1.1680
    606            0.1666             0.0454           -88.8589            -19.1233        -116.7139            0.9773        0.0217        0.8262  1.1727
    607            0.1590             0.0464           -91.9052            -17.1095        -654.7257            0.9774        0.0223        0.8695  1.1701
    608            0.1677             0.0472           -75.7703            -18.5740        -153.5849            0.9769        0.0227        0.8305  1.1731
    609            0.1638             0.0461           -99.9174            -18.3303        -520.2273            0.9775        0.0222        0.8604  1.1713
    610            0.1700             0.0457          -118.7586            -19.1582        -207.9430            0.9774        0.0219        0.8360  1.1732
    611            0.1631             0.0457           -90.4845            -18.5109        -548.3737            0.9772        0.0225        0.8635  1.1715
    612            0.1649             0.0467           -73.9579            -19.1300        -226.8446            0.9766        0.0233        0.8337  1.1652
    613            0.1633             0.0493           -89.7227            -20.2356        -685.4087            0.9755        0.0241        0.8750  1.1656
    614            0.1677             0.0488          -108.9176            -20.3446        -259.3306            0.9758        0.0234        0.8383  1.1699
    615            0.1652             0.0487          -101.9501            -19.3033        -492.7480            0.9762        0.0230        0.8600  1.1743
    616            0.1619             0.0471           -58.3508            -18.1438        -167.6331            0.9766        0.0225        0.8281  1.1698
    617            0.1626             0.0473          -110.1447            -19.4715        -955.3654            0.9773        0.0220        0.8966  1.1728
    618            0.1690             0.0456           -97.0356            -18.3886        -180.4911            0.9775        0.0217        0.8335  1.1747
    619            0.1637             0.0457          -100.9438            -18.7923        -557.0396            0.9776        0.0218        0.8630  1.1739
    620            0.1621             0.0457           -71.7139            -17.3992         -91.2269            0.9771        0.0217        0.8235  1.1757
    621            0.1670             0.0465           -98.3693            -18.8124       -1088.4481            0.9764        0.0224        0.9086  1.1727
    622            0.1641             0.0487           -87.7561            -17.3535         -95.4730            0.9752        0.0233        0.8245  1.1723
    623            0.1664             0.0505          -100.9486            -21.8287        -424.5028            0.9743        0.0244        0.8532  1.1782
    624            0.1648             0.0521           -86.7125            -21.1005        -165.7067            0.9734        0.0244        0.8305  1.1722
    625            0.1638             0.0560          -105.5931            -22.6748         -55.6684            0.9701        0.0260        0.8212  1.1748
    626            0.1616             0.0566           -69.8323            -22.3093         -58.0055            0.9700        0.0250        0.8222  1.1750
    627            0.1666             0.0540          -114.5391            -23.5794         -93.0264            0.9724        0.0240        0.8247  1.1747
    628            0.1639             0.0504           -91.8204            -20.7113         -58.5333            0.9743        0.0234        0.8239  1.1749
    629            0.1670             0.0472          -107.9560            -21.7750         -77.1558            0.9761        0.0219        0.8231  1.1772
    630            0.1609             0.0456           -83.4553            -21.0561         -51.6592            0.9775        [32m0.0211[0m        0.8212  1.1716
    631            0.1661             0.0450           -89.5873            -20.2803         -81.3410            [36m0.9778[0m        [32m0.0211[0m        0.8232  1.1733
    632            0.1640             0.0451          -114.0784            -21.1765         -61.2114            [36m0.9784[0m        [32m0.0209[0m        0.8236  1.1741
    633            0.1713             0.0448          -102.9939            -20.3836         -87.5295            0.9782        0.0214        0.8259  1.1738
    634            0.1602             0.0465           -77.2125            -20.1975         -52.2878            0.9774        0.0228        0.8209  1.1752
    635            0.1611             0.0459           -84.7654            -19.7472         -67.0201            0.9776        0.0218        0.8204  1.1745
    636            0.1651             0.0441          -108.6252            -20.4596         -53.8550            0.9784        0.0212        0.8231  1.1752
    637            0.1691             0.0451          -100.9439            -21.2542        -114.4826            0.9776        0.0221        0.8259  1.1729
    638            0.1586             0.0463           -73.1110            -20.4944         -40.9940            0.9774        0.0225        0.8198  1.1761
    639            0.1618             0.0443           -93.8369            -19.7749         -68.7649            0.9782        0.0213        0.8200  1.1728
    640            0.1634             0.0449           -93.8540            -20.0048         -56.5778            0.9782        0.0218        0.8220  1.1765
    641            0.1666             0.0465          -106.4771            -20.5767         -84.2086            0.9774        0.0222        0.8249  1.1716
    642            0.1626             0.0460           -82.1470            -18.4106         -70.2876            0.9774        0.0225        0.8240  1.1763
    643            0.1598             0.0456          -109.6935            -19.3690         -49.3176            0.9776        0.0218        0.8185  1.1721
    644            0.1626             0.0454           -73.2470            -21.1536         -76.9842            0.9780        0.0217        0.8215  1.1717
    645            0.1598             0.0462           -82.3651            -19.6023         -52.4720            0.9774        0.0222        0.8207  1.1726
    646            0.1689             0.0463          -116.2556            -21.5964         -87.1211            0.9775        0.0218        0.8238  1.1713
    647            0.1625             0.0476           -97.3614            -18.5280         -62.9498            0.9764        0.0232        0.8222  1.1726
    648            0.1571             0.0490           -60.1234            -20.2462         -51.2121            0.9759        0.0240        0.8178  1.1724
    649            0.1584             0.0502           -93.1829            -20.9770         -46.3081            0.9750        0.0239        0.8192  1.1744
    650            0.1681             0.0485          -107.1206            -21.3868         -85.3654            0.9764        0.0225        0.8253  1.1703
    651            0.1595             0.0478           -89.0117            -19.7582         -54.6741            0.9771        0.0220        0.8209  1.1745
    652            0.1599             0.0474           -76.4774            -18.3117         -65.3053            0.9769        0.0218        0.8201  1.1772
    653            0.1550             0.0486           -92.9330            -21.2167         -31.9804            0.9765        0.0227        0.8181  1.1730
    654            0.1715             0.0497          -112.2434            -21.5847        -113.5479            0.9761        0.0229        0.8272  1.1760
    655            0.1570             0.0482           -83.3845            -19.6635         -42.7366            0.9768        0.0224        0.8199  1.1730
    656            0.1588             0.0450           -72.0575            -18.7883         -72.2816            0.9779        0.0210        0.8195  1.1721
    657            0.1578             0.0446          -104.4998            -19.7592         -43.3155            [36m0.9786[0m        0.0210        0.8188  1.1735
    658            0.1615             0.0443           -85.3876            -19.9189         -63.2154            [36m0.9787[0m        [32m0.0208[0m        0.8211  1.1733
    659            0.1666             0.0449           -94.5273            -19.4068         -75.4898            0.9781        0.0219        0.8238  1.1731
    660            0.1578             0.0453          -102.9347            -19.8784         -43.9341            0.9779        0.0216        0.8198  1.1707
    661            0.1612             0.0461           -83.9870            -19.8206         -68.7109            0.9779        0.0216        0.8203  1.1747
    662            0.1559             0.0465           -82.1767            -19.6941         -38.6008            0.9773        0.0220        0.8191  1.1750
    663            0.1620             0.0468           -79.0315            -20.8825         -83.6679            0.9771        0.0224        0.8210  1.1724
    664            0.1614             0.0478          -126.3135            -18.9955         -60.7599            0.9767        0.0229        0.8215  1.1762
    665            0.1579             0.0478           -72.2057            -19.6774         -51.4781            0.9760        0.0237        0.8216  1.1730
    666            0.1604             0.0484           -81.9882            -19.6220         -64.8204            0.9762        0.0233        0.8202  1.1686
    667            0.1558             0.0462           -92.6003            -21.5458         -43.6555            0.9765        0.0226        0.8195  1.1746
    668            0.1663             0.0463          -113.0734            -19.5034         -89.8187            0.9773        0.0218        0.8242  1.1779
    669            0.1553             0.0459           -88.0550            -19.1953         -39.7289            0.9779        0.0213        0.8170  1.1756
    670            0.1624             0.0455           -72.9739            -17.5773         -71.4533            0.9776        0.0212        0.8218  1.1784
    671            0.1574             0.0453          -104.9751            -18.8029         -41.1154            0.9781        0.0214        0.8182  1.1721
    672            0.1640             0.0456          -102.6027            -20.7926         -77.5094            0.9781        0.0211        0.8232  1.1755
    673            0.1607             0.0451           -89.2591            -17.8903         -55.2921            0.9779        0.0219        0.8205  1.1732
    674            0.1560             0.0453           -88.8634            -20.1690         -50.0797            0.9779        0.0217        0.8177  1.1735
    675            0.1635             0.0460           -87.0850            -18.7041         -60.0949            0.9776        0.0221        0.8225  1.1729
    676            0.1572             0.0453           -79.3094            -19.9273         -50.1601            0.9778        0.0217        0.8185  1.1733
    677            0.1636             0.0447          -117.0967            -17.9221         -71.3209            0.9782        0.0213        0.8232  1.1750
    678            0.1610             0.0455           -90.2366            -20.0902         -55.8741            0.9779        0.0214        0.8196  1.1756
    679            0.1593             0.0450           -90.3202            -19.0631         -59.1164            0.9779        0.0216        0.8194  1.1758
    680            0.1561             0.0467           -64.0459            -18.5632         -44.4805            0.9762        0.0225        0.8181  1.1765
    681            0.1638             0.0474          -113.2420            -20.2725         -76.9927            0.9757        0.0228        0.8233  1.1782
    682            0.1649             0.0517           -91.0645            -20.4018         -63.9536            0.9730        0.0235        0.8246  1.1723
    683            0.1574             0.0495           -92.2497            -21.3311         -55.0046            0.9744        0.0229        0.8182  1.1699
    684            0.1588             0.0546           -86.2726            -21.6786         -50.7329            0.9703        0.0244        0.8205  1.1684
    685            0.1628             0.0507          -110.1460            -21.0418         -71.9333            0.9730        0.0237        0.8214  1.1705
    686            0.1622             0.0490           -94.8244            -20.3736         -65.7141            0.9753        0.0230        0.8231  1.1691
    687            0.1637             0.0493           -85.6687            -18.9698         -91.7786            0.9758        0.0227        0.8215  1.1726
    688            0.1545             0.0501           -96.0362            -21.1490         -24.8582            0.9759        0.0231        0.8176  1.1708
    689            0.1643             0.0479           -76.5880            -18.4971        -103.1401            0.9765        0.0226        0.8228  1.1739
    690            0.1586             0.0458          -106.3677            -19.7000         -47.7346            0.9777        0.0214        0.8203  1.1714
    691            0.1636             0.0442           -87.5862            -17.9407         -82.8289            0.9785        0.0210        0.8228  1.1700
    692            0.1594             [32m0.0438[0m           -86.5955            -18.1237         -53.1328            [36m0.9790[0m        [32m0.0208[0m        0.8192  1.1682
    693            0.1554             0.0440           -82.8916            -20.6031         -50.1675            0.9786        0.0215        0.8183  1.1689
    694            0.1670             0.0453           -94.3560            -18.0142         -78.8900            0.9782        0.0216        0.8244  1.1734
    695            0.1565             0.0452           -98.3946            -19.6426         -47.7704            0.9785        0.0211        0.8192  1.1685
    696            0.1652             0.0453           -97.7271            -19.3870         -78.5774            0.9782        0.0215        0.8231  1.1709
    697            0.1557             0.0441           -71.0883            -18.1844         -47.0314            0.9788        0.0211        0.8172  1.1685
    698            0.1603             0.0442           -92.4396            -18.6903         -62.8794            0.9787        0.0210        0.8205  1.1687
    699            0.1648             [32m0.0434[0m          -100.6057            -19.2513         -65.4119            0.9790        0.0212        0.8222  1.1655
    700            0.1618             0.0451           -96.2222            -19.8429         -80.8892            0.9785        0.0213        0.8222  1.1716
    701            0.1571             0.0440           -64.8847            -17.7987         -51.0973            [36m0.9790[0m        [32m0.0207[0m        0.8182  1.1684
    702            0.1584             0.0437          -100.0700            -19.1148         -52.3092            0.9788        0.0210        0.8194  1.1709
    703            0.1639             0.0437           -92.4159            -18.0865         -75.2940            0.9789        0.0212        0.8251  1.1727
    704            0.1655             0.0436          -107.9262            -20.2604         -79.0125            0.9784        0.0214        0.8226  1.1703
    705            0.1581             0.0444           -76.4013            -18.1985         -48.9072            0.9781        0.0219        0.8217  1.1753
    706            0.1617             [32m0.0432[0m           -96.9259            -17.9896         -79.5698            0.9786        0.0209        0.8207  1.1737
    707            0.1581             0.0434           -85.2707            -20.3913         -49.5199            0.9788        0.0210        0.8203  1.1696
    708            0.1671             0.0440           -96.6475            -17.8438        -106.0672            0.9782        0.0215        0.8247  1.1715
    709            0.1588             0.0465          -116.2240            -20.0015         -48.9603            0.9779        0.0217        0.8202  1.1706
    710            0.1628             0.0459           -67.8502            -17.8760         -89.2024            0.9780        0.0215        0.8217  1.1709
    711            0.1538             0.0462           -71.9674            -19.7019         -42.6827            0.9784        0.0213        0.8166  1.1667
    712            0.1594             0.0458          -107.7322            -20.1743         -57.3170            0.9782        0.0211        0.8206  1.1725
    713            0.1711             0.0467          -118.9047            -19.8722         -97.3361            0.9770        0.0228        0.8270  1.1642
    714            0.1533             0.0498           -81.2863            -19.8579         -41.7415            0.9757        0.0233        0.8179  1.1648
    715            0.1621             0.0483           -81.7994            -21.0176         -93.4626            0.9757        0.0224        0.8223  1.1712
    716            0.1559             0.0474          -100.2430            -16.6086         -42.4720            0.9765        0.0221        0.8186  1.1742
    717            0.1646             0.0483          -112.4087            -21.2605         -79.7074            0.9759        0.0224        0.8223  1.1706
    718            0.1613             0.0479           -73.4002            -17.1984         -62.8626            0.9761        0.0222        0.8215  1.1686
    719            0.1560             0.0456           -99.3697            -17.8468         -53.9777            0.9776        0.0212        0.8177  1.1713
    720            0.1589             0.0473           -88.6403            -19.3693         -53.0010            0.9768        0.0217        0.8197  1.1730
    721            0.1604             0.0457          -103.2686            -19.8701         -69.3350            0.9783        0.0208        0.8215  1.1683
    722            0.1639             0.0460           -85.4008            -18.5023         -90.2281            0.9782        0.0211        0.8222  1.1705
    723            0.1558             0.0439           -97.7690            -18.4362         -41.6416            0.9790        [32m0.0206[0m        0.8173  1.1718
    724            0.1561             0.0437           -65.9352            -19.0633         -58.2376            [36m0.9792[0m        0.0209        0.8181  1.1714
    725            0.1610             0.0455          -107.2266            -19.9749         -55.9828            0.9779        0.0224        0.8214  1.1716
    726            0.1624             0.0464           -92.6768            -19.9476         -89.9851            0.9780        0.0221        0.8223  1.1732
    727            0.1558             0.0451           -92.5146            -17.6283         -52.3175            0.9780        0.0219        0.8176  1.1725
    728            0.1574             0.0444           -85.4118            -19.3927         -43.5288            0.9782        0.0222        0.8173  1.1703
    729            0.1580             0.0462           -82.0626            -18.2292        -285.7246            0.9774        0.0222        0.8362  1.1699
    730            0.1607             0.0449          -105.6208            -18.9558         -58.3162            0.9784        0.0212        0.8202  1.1733
    731            0.1592             [32m0.0431[0m          -106.7374            -19.3233        -210.7829            0.9791        [32m0.0203[0m        0.8323  1.1705
    732            0.1589             [32m0.0425[0m           -70.7080            -17.9034         -59.5424            [36m0.9796[0m        [32m0.0202[0m        0.8192  1.1730
    733            0.1541             0.0436           -95.8617            -19.6217         -47.1236            0.9792        0.0205        0.8176  1.1715
    734            0.1631             0.0427           -98.6707            -17.9851         -68.9037            0.9793        0.0206        0.8229  1.1657
    735            0.1564             0.0427          -101.2710            -18.3504         -63.1732            0.9793        0.0203        0.8184  1.1730
    736            0.1557             0.0432           -84.4403            -17.6440         -49.8505            0.9791        0.0206        0.8184  1.1729
    737            0.1604             0.0439           -88.1383            -17.1247         -62.8223            0.9786        0.0208        0.8199  1.1718
    738            0.1570             0.0445          -101.2724            -20.4750         -44.4597            0.9784        0.0213        0.8195  1.1741
    739            0.1669             0.0465          -114.4924            -18.7571         -91.5831            0.9773        0.0223        0.8243  1.1796
    740            0.1549             0.0475           -95.0267            -19.4571         -44.0633            0.9772        0.0223        0.8180  1.1747
